TimePoint,30 pre-drug_COLOR
14.4,0.05994442
14.5,0.04715388
14.6,0.04520428
14.7,0.04845528
14.8,0.05144889
14.9,0.05791618
15.0,0.05301607
15.1,0.052003
15.2,0.04725227
15.3,0.03551226
15.4,0.02916739
15.5,0.02607441
15.6,0.03614564
15.7,0.03879232
15.8,0.03441362
15.9,0.02289541
16.0,0.01506382
16.1,0.01361923
16.2,0.02217643
16.3,0.03049878
16.4,0.03837977
16.5,0.03290051
16.6,0.03007367
16.7,0.03164332
16.8,0.04507937
16.9,0.05280496
17.0,0.04899174
17.1,0.04408034
17.2,0.0653004
17.3,0.08379849
17.4,0.09805332
17.5,0.09250268
17.6,0.09540609
17.7,0.09142938
17.8,0.09717499
17.9,0.09853996
18.0,0.1056619
18.1,0.1051134
18.2,0.1049416
18.3,0.09343861
18.4,0.09505544
18.5,0.09074653
18.6,0.0924701
18.7,0.07704775
18.8,0.06110351
18.9,0.04668434
19.0,0.05149433
19.1,0.05004796
19.2,0.03842959
19.3,0.03247681
19.4,0.03607957
19.5,0.02117347
19.6,0.009618995
19.7,0.005077482
19.8,0.0004696252
19.9,0.009543223
20.0,0.02167753
20.1,0.01960507
20.2,0.01014004
20.3,0.01656227
20.4,0.02004548
20.5,0.02765385
20.6,0.02913483
20.7,0.02364451
20.8,0.01299699
20.9,0.003615836
21.0,-0.001631806
21.1,0.001179503
21.2,0.007888309
21.3,0.007206018
21.4,-0.004179492
21.5,-0.002635444
21.6,-0.01037427
21.7,-0.009933985
21.8,0.002953134
21.9,0.02249307
22.0,0.03355386
22.1,0.02933111
22.2,0.02659238
22.3,0.03113897
22.4,0.04318382
22.5,0.05638964
22.6,0.06817324
22.7,0.07280539
22.8,0.07094797
22.9,0.078054
23.0,0.1023263
23.1,0.1023641
23.2,0.09461438
23.3,0.08566378
23.4,0.07841479
23.5,0.06649124
23.6,0.05265111
23.7,0.03324288
23.8,0.02699164
23.9,0.02437062
24.0,0.03162911
24.1,0.03013148
24.2,0.02253071
24.3,0.02612949
24.4,0.02761074
24.5,0.03724833
24.6,0.05788254
24.7,0.07281753
24.8,0.07238529
24.9,0.08192458
25.0,0.08473879
25.1,0.07859776
25.2,0.08632044
